Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,buy_prem,sell_prem
61260,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61320,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61380,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61440,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61500,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61560,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61620,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61680,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61740,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61800,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61860,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61920,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
61980,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62040,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62100,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62160,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62220,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62280,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62340,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62400,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62460,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62520,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62580,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62640,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62700,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62760,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62820,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62880,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
62940,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63000,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63060,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63120,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63180,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63240,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63300,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63360,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63420,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63480,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63540,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63600,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63660,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63720,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63780,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63840,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
63900,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
