Time,x,y,resources,capacity,ports_filled,buy_prem,sell_prem
37980,-30366.079626075974,-17404.05724116868,136.79166666666066,300.0,0,1,1
38040,-30264.886154647127,-17579.438738404344,136.77083333332732,300.0,0,1,1
38100,-30162.67976594643,-17754.23187997803,136.74999999999397,300.0,0,1,1
38160,-30059.463880658015,-17928.430815843265,136.72916666666063,300.0,0,1,1
38220,-29955.241953252284,-18102.029715840617,136.7083333333273,300.0,0,1,1
38280,-29850.01747187026,-18275.022769892857,136.68749999999395,300.0,0,1,1
38340,-29743.7939582068,-18447.404188199565,136.6666666666606,300.0,0,1,1
38400,-29636.5749673928,-18619.16820143072,136.64583333332726,300.0,0,1,1
38460,-29528.364087876165,-18790.30906091987,136.62499999999392,300.0,0,1,1
38520,-29419.164941301773,-18960.8210388565,136.60416666666057,300.0,0,1,1
38580,-29308.981182390133,-19130.698428477815,136.58333333332723,300.0,0,1,1
38640,-29197.816498815235,-19299.935544259602,136.5624999999939,300.0,0,1,1
38700,-29085.674611081013,-19468.52672210663,136.54166666666055,300.0,0,1,1
38760,-28972.559272396855,-19636.466319542153,136.5208333333272,300.0,0,1,1
38820,-28858.474268551974,-19803.74871589685,136.49999999999386,300.0,0,1,1
38880,-28743.423417788774,-19970.36831249675,136.47916666666052,300.0,0,1,1
38940,-28627.410570674998,-20136.319532850783,136.45833333332718,300.0,0,1,1
39000,-28510.43960997481,-20301.5968228374,136.43749999999383,300.0,0,1,1
39060,-28392.514450518964,-20466.19465089038,136.4166666666605,300.0,0,1,1
39120,-28273.63903907369,-20630.107508184024,136.39583333332715,300.0,0,1,1
39180,-28153.817354208644,-20793.329908817454,136.3749999999938,300.0,0,1,1
39240,-28033.05340616371,-20955.856389998367,136.35416666666046,300.0,0,1,1
39300,-27911.35123671485,-21117.681512225685,136.33333333332712,300.0,0,1,1
39360,-27788.71491903878,-21278.799859471725,136.31249999999378,300.0,0,1,1
39420,-27665.148557576624,-21439.20603936345,136.29166666666043,300.0,0,1,1
39480,-27540.656287896658,-21598.894683362865,136.2708333333271,300.0,0,1,1
39540,-27415.242276555742,-21757.860446946823,136.24999999999375,300.0,0,1,1
39600,-27288.910720960026,-21916.098009785757,136.2291666666604,300.0,0,1,1
39660,-27161.66584922434,-22073.602075921877,136.20833333332706,300.0,0,1,1
39720,-27033.511920030756,-22230.367373946327,136.18749999999372,300.0,0,1,1
39780,-26904.45322248607,-22386.38865717562,136.16666666666038,300.0,0,1,1
39840,-26774.494075978215,-22541.660703827256,136.14583333332703,300.0,0,1,1
39900,-26643.63883003167,-22696.17831719453,136.1249999999937,300.0,0,1,1
39960,-26511.891864161982,-22849.93632582034,136.10416666666035,300.0,0,1,1
40020,-26379.2575877291,-23002.9295836704,136.083333333327,300.0,0,1,1
40080,-26245.740439789868,-23155.152970305367,136.06249999999366,300.0,0,1,1
40140,-26111.344888949385,-23306.60139105226,136.04166666666032,300.0,0,1,1
40200,-25976.075433211518,-23457.269777174995,136.02083333332698,300.0,0,1,1
40260,-25839.936599828336,-23607.15308604394,135.99999999999363,300.0,0,1,1
40320,-25702.932945148546,-23756.246301304836,135.9791666666603,300.0,0,1,1
40380,-25565.069054465086,-23904.544433046492,135.95833333332695,300.0,0,1,1
40440,-25426.349541861597,-24052.042517967926,135.9374999999936,300.0,0,1,1
40500,-25286.779050058005,-24198.735619544463,135.91666666666026,300.0,0,1,1
40560,-25146.36225025514,-24344.618828192917,135.89583333332692,300.0,0,1,1
40620,-25005.10384197842,-24489.68726143595,135.87499999999358,300.0,0,1,1
40680,-24863.008552920608,-24633.93606406534,135.85416666666023,300.0,0,1,1
40740,-24720.08113878342,-24777.36040830473,135.8333333333269,300.0,0,1,1
40800,-24576.326383118518,-24919.95549397099,135.81249999999355,300.0,0,1,1
40860,-24431.74909716735,-25061.71654863498,135.7916666666602,300.0,0,1,1
40920,-24286.35411970019,-25202.638827781186,135.77083333332686,300.0,0,1,1
40980,-24140.146316854036,-25342.717614966652,135.74999999999352,300.0,0,1,1
41040,-23993.130581969937,-25481.94822197866,135.72916666666018,300.0,0,1,1
41100,-23845.311835429096,-25620.32598899178,135.70833333332683,300.0,0,1,1
41160,-23696.695024488236,-25757.846284723746,135.6874999999935,300.0,0,1,1
41220,-23547.285123113987,-25894.504506590525,135.66666666666015,300.0,0,1,1
41280,-23397.0871318165,-26030.296080860262,135.6458333333268,300.0,0,1,1
41340,-23246.10607748204,-26165.2164628064,135.62499999999346,300.0,0,1,1
41400,-23094.347013204664,-26299.261136859863,135.60416666666012,300.0,0,1,1
41460,-22941.81501811722,-26432.425616760058,135.58333333332678,300.0,0,1,1
41520,-22788.515197221324,-26564.705445705113,135.56249999999343,300.0,0,1,1
41580,-22634.45268121649,-26696.096196500977,135.5416666666601,300.0,0,1,1
41640,-22479.63262632837,-26826.59347170966,135.52083333332675,300.0,0,1,1
41700,-22324.06021413629,-26956.192903796327,135.4999999999934,300.0,0,1,1
41760,-22167.740651399767,-27084.890155275512,135.47916666666006,300.0,0,1,1
41820,-22010.679169884173,-27212.680918856367,135.45833333332672,300.0,0,1,1
41880,-21852.881026185816,-27339.56091758663,135.43749999999338,300.0,0,1,1
41940,-21694.35150155582,-27465.525904995982,135.41666666666003,300.0,0,1,1
42000,-21535.095901723515,-27590.571665237985,135.3958333333267,300.0,0,1,1
